postedDate,eventDate,voidedDate,event,basis,action,entryNumber,portOfEntry,entryDate,entryType,teamNumber
,,,Extended,Customs Extension,,71601903819,5301,,47,6D0
,,,Extended,Customs Extension,,71601903744,5301,,47,6D0
,,,Extended,Customs Extension,,71601903710,5301,,47,6D0
,,,Extended,Customs Extension,,71602005812,5301,,47,6D0
,,,Extended,Customs Extension,,94324085912,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406346,5301,,47,6D0
,,,Liquidated,,Change Increase,BER90216241,5301,,47,FDB
,,,Liquidated,,No Change,8RM00000231,5301,,47,6D0
,,,Liquidated,,Change Increase,JF901335493,5301,,47,6D0
,,,Liquidated,,No Change,BER90174630,5301,,47,6D0
,,,Liquidated,,No Change,BER90174440,5301,,47,6D0
,,,Liquidated,,No Change,BER90174424,5301,,47,6D0
,,,Liquidated,,No Change,BER90174390,5301,,47,6D0
,,,Liquidated,,No Change,BER90174218,5301,,47,6D0
,,,Liquidated,,No Change,BER90173947,5301,,47,6D0
,,,Liquidated,,No Change,BER90173905,5301,,47,6D0
,,,Liquidated,,No Change,BER90173525,5301,,47,6D0
,,,Liquidated,,No Change,BER90173343,5301,,47,6D0
,,,Liquidated,,No Change,BER90168814,5301,,47,6D0
,,,Liquidated,,No Change,BER90172402,5301,,47,6D0
,,,Liquidated,,No Change,BER90172212,5301,,47,6D0
,,,Liquidated,,No Change,BER90172071,5301,,47,6D0
,,,Liquidated,,No Change,BER90171511,5301,,47,6D0
,,,Liquidated,,No Change,BER90171362,5301,,47,6D0
,,,Liquidated,,No Change,BER90171347,5301,,47,6D0
,,,Liquidated,,No Change,BER90170588,5301,,47,6D0
,,,Liquidated,,No Change,BER90170430,5301,,47,6D0
,,,Liquidated,,No Change,BER90170414,5301,,47,6D0
,,,Liquidated,,No Change,ATJ00037285,5301,,47,6D0
,,,Liquidated,,No Change,71602003080,5301,,47,6D0
,,,Liquidated,,No Change,BER90150929,5301,,47,6D0
,,,Liquidated,,Change Decrease,ATJ00037269,5301,,47,6D0
,,,Liquidated,,No Change,BER90184043,5301,,47,6D0
,,,Liquidated,,Change Decrease,BER90184134,5301,,47,6D0
,,,Liquidated,,No Change,BER90184167,5301,,47,6D0
,,,Liquidated,,No Change,BER90184118,5301,,47,6D0
,,,Liquidated,,No Change,BER90184126,5301,,47,6D0
,,,Liquidated,,No Change,BER90184100,5301,,47,6D0
,,,Liquidated,,No Change,BER90184092,5301,,47,6D0
,,,Liquidated,,No Change,BER90163161,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713088448,5301,,47,6D0
,,,Re-liquidated,,Change Increase,D9713088968,5301,,47,6D0
,,,Extended,Customs Extension,,AA603411072,5301,,47,6D0
,,,Extended,Customs Extension,,W6930066080,5301,,47,6D0
,,,Extended,Customs Extension,,W6930066056,5301,,47,6D0
,,,Extended,Customs Extension,,W6930066049,5301,,47,6D0
,,,Extended,Customs Extension,,71601903835,5301,,47,6D0
,,,Extended,Customs Extension,,DW719122718,5301,,47,6D0
,,,Extended,Customs Extension,,96802006740,5301,,47,6D0
,,,Extended,Customs Extension,,94324085904,5301,,47,6D0
,,,Extended,Customs Extension,,94324085896,5301,,47,6D0
,,,Extended,Customs Extension,,94324085888,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406361,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406197,5301,,47,6D0
,,,Extended,Customs Extension,,AC112959716,5301,,47,6D0
,,,Extended,Customs Extension,,AA603410850,5301,,47,6D0
,,,Extended,Customs Extension,,ATJ00037327,5301,,47,6D0
,,,Extended,Customs Extension,,ATJ00037111,5301,,47,6D0
,,,Extended,Customs Extension,,ATJ00037319,5301,,47,6D0
,,,Extended,Customs Extension,,ATJ00037293,5301,,47,6D0
